hotel,total_reservas,reservas_canceladas,tasa_cancelacion,precio_medio_noche,noches_medias,ingreso_total_estimado,ingreso_cancelaciones,porcentaje_ingreso_cancelado
City Hotel,79162,33078,0.42,105.44,2.97,25265001.78,10879659.78,43.06
Resort Hotel,40046,11120,0.28,94.99,4.32,17443811.37,5842177.34,33.49
